0001.260062 00000239 8 47 41 00 17 00 00 00 00
0001.260293 00000249 8 66 7D 45 02 00 60 29 00
0001.260534 00000469 8 B9 04 00 00 00 00 00 00
0001.260784 00000719 8 0C 00 00 00 00 06 02 00
0001.261030 0000045C 8 58 98 14 0E 00 00 90 8C
0001.261281 0000043C 8 42 C7 70 17 64 00 00 00
0001.269396 00000219 8 01 80 00 00 87 02 00 00
0001.348295 00000368 8 03 49 29 11 00 0C 40 FF
0001.348546 0000045C 8 58 98 14 0E 00 00 90 8C
0001.348802 0000043C 8 42 C7 70 17 64 00 00 00
0001.359575 00000209 8 00 EB 40 39 68 03 14 00
0001.359800 00000229 8 7C 8F 0C 8E CB 00 EC D1
0001.360046 00000239 8 47 41 00 17 00 00 00 00
0001.360271 00000249 8 66 7D 46 02 00 60 29 00
0001.360522 00000469 8 03 05 00 00 00 00 00 00
0001.360763 00000719 8 0E 00 00 02 A6 04 00 00
0001.369374 00000219 8 01 80 00 00 87 02 00 00
0001.438305 00000368 8 03 49 29 11 00 0C 40 FF
0001.438551 0000045C 8 58 98 14 0E 00 00 90 8C
0001.438812 0000043C 8 42 C7 70 17 64 00 00 00
0001.459727 00000209 8 00 EC 80 38 68 03 14 00
0001.460562 00000229 8 67 8F 13 8E B1 00 EC D1
0001.460802 00000239 8 47 41 00 17 00 00 00 00
0001.461033 00000249 8 66 7D 46 02 00 60 29 00
0001.461278 00000469 8 49 05 00 00 00 00 00 00
0001.461514 00000719 8 0F 00 D4 01 90 16 00 00
0001.469358 00000219 8 01 80 00 00 87 02 00 00
0001.528325 00000368 8 03 49 29 11 00 0C 40 FF
0001.528576 0000045C 8 58 98 14 0E 00 00 90 8C
0001.528832 0000043C 8 42 C7 70 17 64 00 00 00
0001.559557 00000209 8 00 EC 80 37 68 03 14 00
0001.559782 00000229 8 57 8F 15 8E 96 00 EC D1
0001.560018 00000239 8 47 41 00 17 00 00 00 00
0001.560253 00000249 8 66 7D 45 02 00 60 29 00
0001.560499 00000469 8 8B 05 00 00 00 00 00 00
0001.560734 00000719 8 10 FF 0F 00 13 00 00 00
0001.569357 00000219 8 01 80 00 00 87 02 00 00
0001.618329 00000368 8 03 49 29 11 00 0C 40 FF
0001.618580 0000045C 8 58 98 14 0E 00 00 90 8C
0001.618831 0000043C 8 42 C7 70 17 64 00 00 00
0001.659545 00000209 8 00 EB C0 36 68 03 14 00
0001.659766 00000229 8 42 8F 19 8E 91 00 EC D1
0001.660011 00000239 8 47 41 00 17 00 00 00 00
0001.660242 00000249 8 66 7D 45 02 00 60 29 00
0001.660487 00000469 8 C8 05 00 00 00 00 00 00
0001.660728 00000719 8 11 00 F5 01 00 00 00 00
0001.669340 00000219 8 01 80 00 00 87 02 00 00
0001.708339 00000368 8 03 49 29 11 00 0C 40 FF
0001.708590 0000045C 8 58 98 14 0E 00 00 90 8C
0001.708841 0000043C 8 42 C7 70 17 64 00 00 00
0001.759524 00000209 8 00 EB 80 35 68 03 14 00
0001.759759 00000229 8 34 8F 19 8E 80 00 EC D1
0001.759995 00000239 8 47 41 00 17 00 00 00 00
0001.760230 00000249 8 66 7D 45 02 00 60 29 00
0001.760476 00000469 8 02 06 00 00 00 00 00 00
0001.760711 00000719 8 12 3D 28 00 27 00 16 00
0001.769328 00000219 8 01 80 00 00 87 02 00 00
0001.798338 00000368 8 03 49 29 11 00 0C 40 FF
0001.798589 0000045C 8 58 98 14 0E 00 00 90 8C
0001.798840 0000043C 8 42 C7 70 17 64 00 00 00
0001.859517 00000209 8 00 EB 80 34 68 01 14 00
0001.859783 00000229 8 18 8F 16 8E 7E 00 EC D1
0001.860004 00000239 8 47 41 00 17 00 00 00 00
0001.860229 00000249 8 66 7D 45 02 00 60 29 00
0001.860470 00000469 8 38 06 00 00 00 00 00 00
0001.860720 00000719 8 13 00 00 00 01 00 00 00
0001.869312 00000219 8 01 80 00 00 87 02 00 00
0001.888353 00000368 8 03 49 29 11 00 0C 40 FF
0001.888609 0000045C 8 58 98 14 0E 00 00 90 8C
0001.888860 0000043C 8 42 C7 70 17 64 00 00 00
0001.959490 00000209 8 00 EB 40 33 68 01 14 00
0001.959833 00000229 8 FE 8E 0A 8E 6A 00 EC D1
0001.960197 00000239 8 47 41 00 17 00 00 00 00
0001.960427 00000249 8 66 7D 46 02 00 60 29 00
0001.960673 00000469 8 6B 06 00 00 00 00 00 00
0001.960919 00000719 8 14 00 00 00 02 54 00 00
0001.969310 00000219 8 01 80 00 00 87 02 00 00
0001.978363 00000368 8 03 49 29 11 00 0C 40 FF
0001.978598 0000045C 8 58 98 14 0E 00 00 90 8C
0001.978839 0000043C 8 42 C7 70 17 64 00 00 00
0002.059499 00000209 8 00 EB 00 32 68 01 14 00
0002.059735 00000229 8 E9 8E 10 8E 69 00 EC D1
0002.060042 00000239 8 47 41 00 17 00 00 00 00
0002.060293 00000249 8 66 7D 46 02 00 60 29 00
0002.060554 00000469 8 9B 06 00 00 00 00 00 00
0002.068372 00000368 8 03 49 29 11 00 0C 40 FF
0002.068623 0000045C 8 58 98 14 2E 00 00 90 8C
0002.068884 0000043C 8 42 BB 70 17 FE 00 00 00
0002.069494 00000219 8 01 80 00 00 87 0A 00 00
0002.070471 00000219 8 31 80 00 00 87 0C 00 00
0002.071506 00000219 8 31 C0 00 00 87 0D 00 00
0002.125430 00000219 8 31 C0 7F 00 87 0E 00 00
0002.158382 00000368 8 03 49 29 11 00 0C 40 FF
0002.158638 0000045C 8 58 98 14 2E 00 00 90 8C
0002.158889 0000043C 8 42 BB 70 17 FE 00 00 00
0002.159559 00000349 8 00 00 00 00 00 00 00 00
0002.159836 00000209 8 00 EB 82 30 68 01 00 00
0002.160322 00000229 8 DD 8E 14 8E 66 00 ED D1
0002.160563 00000239 8 47 41 00 17 00 00 00 00
0002.160798 00000249 8 66 7D 46 06 05 60 29 00
0002.161044 00000469 8 C8 06 00 00 00 00 00 00
0002.161285 00000719 8 16 00 00 00 00 00 20 F9
0002.169533 00000359 8 00 00 00 00 00 00 00 00
0002.179538 00000329 8 00 00 00 00 00 00 00 00
0002.189527 00000369 8 00 00 00 00 00 00 00 00
0002.199526 00000379 8 00 00 00 00 00 00 00 00
0002.225428 00000219 8 31 C0 7F 00 87 0E 00 00
0002.248386 00000368 8 03 49 29 11 00 0C 40 FF
0002.248637 0000045C 8 58 98 14 2E 00 00 90 8C
0002.248893 0000043C 8 42 BB 70 17 FE 00 00 00
0002.259614 00000209 8 00 EB 42 2F 68 01 00 00
0002.259840 00000229 8 C8 8E 13 8E 5E 00 ED D1
0002.260198 00000239 8 47 41 00 17 00 00 00 00
0002.260434 00000249 8 66 7D 46 06 05 60 29 00
0002.260674 00000469 8 F2 06 00 00 00 00 00 00
0002.260925 00000719 8 17 00 0C 20 01 00 A0 00
0002.325391 00000219 8 31 C0 7F 00 87 0E 00 00
0002.338396 00000368 8 03 49 29 11 00 0C 40 FF
0002.338637 0000045C 8 58 98 14 2E 00 00 90 8C
0002.338882 0000043C 8 42 BB 70 17 FE 00 00 00
0002.359613 00000209 8 00 EB C2 2D 68 01 00 00
0002.359849 00000229 8 B5 8E 1A 8E 5F 00 ED D1
0002.360084 00000239 8 47 41 00 17 00 00 00 00
0002.360381 00000249 8 66 7D 45 06 05 60 29 00
0002.360786 00000469 8 1A 07 00 00 00 00 00 00
0002.361083 00000719 8 18 00 66 06 00 00 00 00
0002.425395 00000219 8 31 80 7F 00 87 0E 00 00
0002.428406 00000368 8 03 49 29 11 00 0C 40 FF
0002.428651 0000045C 8 58 98 14 2E 00 00 90 8C
0002.428892 0000043C 8 42 BB 70 17 FE 00 00 00
0002.459586 00000209 8 00 EB 82 2C 68 01 00 00
0002.459822 00000229 8 9B 8E 0D 8E 58 00 ED D1
0002.460052 00000239 8 47 41 00 17 00 00 00 00
0002.460288 00000249 8 66 7D 46 06 05 60 29 00
0002.460795 00000469 8 3F 07 00 00 00 00 00 00
0002.461040 00000719 8 19 00 00 00 00 00 00 00
0002.518415 00000368 8 03 49 29 11 00 0C 40 FF
0002.518671 0000045C 8 58 98 14 2E 00 00 90 8C
0002.518927 0000043C 8 42 BB 70 17 FE 00 00 00
0002.525389 00000219 8 31 80 7F 00 87 0E 00 00
0002.559585 00000209 8 00 EA C2 2A 68 01 00 00
0002.559826 00000229 8 89 8E 12 8E 61 00 ED D1
0002.560082 00000239 8 47 41 00 17 00 00 00 00
0002.560333 00000249 8 66 7D 46 06 05 60 29 00
0002.560645 00000469 8 62 07 00 00 00 00 00 00
0002.560906 00000719 8 1A 00 60 FF E6 C6 FC 1E
0002.608430 00000368 8 03 49 29 11 00 0C 40 FF
0002.608676 0000045C 8 58 98 14 2E 00 00 90 8C
0002.608937 0000043C 8 42 BB 70 17 FE 00 00 00
0002.625357 00000219 8 31 80 7F 00 87 0E 00 00
0002.659553 00000209 8 00 EA 42 29 68 01 00 00
0002.659804 00000229 8 76 8E 0D 8E 5F 00 ED D1
0002.660060 00000239 8 47 41 00 17 00 00 00 00
0002.660311 00000249 8 66 7D 46 06 05 60 29 00
0002.660715 00000469 8 83 07 00 00 00 00 00 00
0002.660976 00000719 8 1B 00 00 00 00 00 77 EC
0002.698429 00000368 8 03 49 29 11 00 0C 40 FF
0002.698685 0000045C 8 58 98 14 2E 00 00 90 8C
0002.698941 0000043C 8 42 BB 70 17 FE 00 00 00
0002.725360 00000219 8 31 80 7F 00 87 0E 00 00
0002.759552 00000209 8 00 EA C2 27 68 01 00 00
0002.759792 00000229 8 60 8E 0E 8E 5A 00 ED D1
0002.760048 00000239 8 47 41 00 17 00 00 00 00
0002.760299 00000249 8 66 7D 46 06 05 60 29 00
0002.760837 00000469 8 A2 07 00 00 00 00 00 00
0002.761098 00000719 8 1C 00 00 00 00 00 00 00
0002.788444 00000368 8 03 49 29 11 00 0C 40 FF
0002.788690 0000045C 8 58 98 14 2E 00 00 90 8C
0002.788951 0000043C 8 42 BB 70 17 FE 00 00 00
0002.825528 00000219 8 31 80 7F 00 87 0E 00 00
0002.859735 00000209 8 00 EA 02 26 68 01 E0 52
0002.859981 00000229 8 51 8E 10 8E 5B 00 ED D1
0002.860231 00000239 8 47 41 00 17 00 00 00 00
0002.860487 00000249 8 66 7D 46 06 05 60 29 00
0002.860743 00000469 8 BF 07 00 00 00 00 00 00
0002.861061 00000719 8 01 00 00 00 CC 0C 00 00
0002.878454 00000368 8 03 49 29 11 00 0C 40 FF
0002.878694 0000045C 8 58 98 14 2E 00 00 90 8C
0002.878940 0000043C 8 42 BB 70 17 FE 00 00 00
0002.925532 00000219 8 31 80 7F 00 87 0E 00 00
0002.959718 00000209 8 00 EA 92 24 68 01 20 B1
0002.959964 00000229 8 3B 8E 14 8E 60 00 ED D1
0002.960215 00000239 8 47 41 00 17 00 00 00 00
0002.960471 00000249 8 66 7D 46 06 05 60 29 00
0002.960727 00000469 8 DA 07 00 00 00 00 00 00
0002.961147 00000719 8 02 00 00 00 00 00 00 00
0002.968458 00000368 8 03 49 29 11 00 0C 40 FF
0002.968709 0000045C 8 58 98 14 2E 00 00 90 8C
0002.968965 0000043C 8 42 BB 70 17 FE 00 00 00
0003.025526 00000219 8 31 80 7F 00 87 0E 00 00
0003.058473 00000368 8 03 49 29 11 00 0C 40 FF
0003.058724 0000045C 8 58 98 14 2E 00 00 90 8C
0003.058980 0000043C 8 42 BB 70 17 FE 00 00 00
0003.060014 00000209 8 00 EA 12 23 68 01 80 B8
0003.060244 00000229 8 24 8E 12 8E 5E 00 ED D1
0003.060480 00000239 8 47 41 00 17 00 00 00 00
0003.060715 00000249 8 66 7D 46 06 05 60 29 00
0003.060961 00000469 8 F4 07 00 00 00 00 00 00
0003.124633 00000219 8 31 80 7F 00 87 90 00 00
0003.125637 00000219 8 31 80 7F 00 87 92 00 00
0003.148472 00000368 8 03 49 29 11 00 0C 40 FF
0003.148728 0000045C 8 58 98 14 2E 00 00 90 8C
0003.148984 0000043C 8 42 BB 70 17 FE 00 00 00
0003.159746 00000349 8 00 00 00 00 00 00 00 00
0003.159982 00000209 8 00 EA 52 21 68 01 A0 B3
0003.160212 00000229 8 0D 8E 14 8E 51 00 ED D1
0003.160448 00000239 8 47 41 00 17 00 00 00 00
0003.160683 00000249 8 66 7D 46 06 05 60 29 00
0003.160929 00000469 8 0C 08 00 00 00 00 00 00
0003.161339 00000719 8 04 00 00 00 8A 07 87 03
0003.169761 00000359 8 00 00 00 00 00 00 00 00
0003.179745 00000329 8 00 00 00 00 00 00 00 00
0003.189785 00000369 8 00 00 00 00 00 00 00 00
0003.199769 00000379 8 00 00 00 00 00 00 00 00
0003.225636 00000219 8 31 80 7F 00 87 92 00 00
0003.238492 00000368 8 03 49 29 11 00 0C 40 FF
0003.238727 0000045C 8 58 98 14 2E 00 00 90 8C
0003.238973 0000043C 8 42 BB 70 17 FE 00 00 00
0003.259873 00000209 8 00 EA 92 1F 68 01 A0 B4
0003.260103 00000229 8 F5 8D 07 8E 61 00 ED D1
0003.260339 00000239 8 47 41 00 17 00 00 00 00
0003.260580 00000249 8 66 7D 46 06 05 60 29 00
0003.260820 00000469 8 22 08 00 00 00 00 00 00
0003.261066 00000719 8 05 00 00 00 00 00 00 00
0003.325629 00000219 8 31 80 7F 00 87 92 00 00
0003.328486 00000368 8 03 49 29 11 00 0C 40 FF
0003.328732 0000045C 8 58 98 14 2E 00 00 90 8C
0003.328978 0000043C 8 42 BB 70 17 FE 00 00 00
0003.359862 00000209 8 00 EA 52 1D 68 01 40 B8
0003.360097 00000229 8 DE 8D 09 8E 57 00 ED D1
0003.360353 00000239 8 47 41 00 17 00 00 00 00
0003.360604 00000249 8 66 7D 46 06 05 60 29 00
0003.360860 00000469 8 38 08 00 00 00 00 00 00
0003.361121 00000719 8 06 00 00 00 66 06 52 0C
0003.418506 00000368 8 03 49 29 11 00 0C 40 FF
0003.418752 0000045C 8 58 98 14 2E 00 00 90 8C
0003.419013 0000043C 8 42 BB 70 17 FE 00 00 00
0003.425577 00000219 8 31 80 7F 00 87 92 00 00
0003.459835 00000209 8 00 E9 92 1B 68 01 80 B7
0003.460086 00000229 8 D0 8D 07 8E 53 00 ED D1
0003.460342 00000239 8 47 41 00 17 00 00 00 00
0003.460587 00000249 8 66 7D 46 06 05 60 29 00
0003.460843 00000469 8 4B 08 00 00 00 00 00 00
0003.461104 00000719 8 07 00 00 00 03 27 00 00
0003.508516 00000368 8 03 49 29 11 00 0C 40 FF
0003.508766 0000045C 8 58 98 14 2E 00 00 90 8C
0003.509017 0000043C 8 42 BB 70 17 FE 00 00 00
0003.525586 00000219 8 31 80 7F 00 87 92 00 00
0003.559905 00000209 8 00 EA 92 19 68 01 80 B5
0003.560141 00000229 8 B6 8D 16 8E 5B 00 ED D1
0003.560397 00000239 8 47 41 00 17 00 00 00 00
0003.560647 00000249 8 66 7D 46 06 05 60 29 00
0003.560903 00000469 8 5E 08 00 00 00 00 00 00
0003.561175 00000719 8 08 00 00 00 00 00 00 00
0003.598515 00000368 8 03 49 29 11 00 0C 40 FF
0003.598766 0000045C 8 58 98 14 2E 00 00 90 8C
0003.599027 0000043C 8 42 BB 70 17 FE 00 00 00
0003.625569 00000219 8 31 80 7F 00 87 92 00 00
0003.659822 00000209 8 00 EA 92 17 68 01 20 B6
0003.660062 00000229 8 A2 8D 11 8E 56 00 ED D1
0003.660318 00000239 8 47 41 00 17 00 00 00 00
0003.660569 00000249 8 66 7D 46 06 05 60 29 00
0003.660830 00000469 8 70 08 00 00 00 00 00 00
0003.661092 00000719 8 09 00 00 00 00 00 00 00
0003.688530 00000368 8 03 49 29 11 00 0C 40 FF
0003.688781 0000045C 8 58 98 14 2E 00 00 90 8C
0003.689042 0000043C 8 42 BB 70 17 FE 00 00 00
0003.725578 00000219 8 31 80 7F 00 87 92 00 00
0003.759805 00000209 8 00 EA 92 15 68 01 40 B7
0003.760046 00000229 8 9A 8D 15 8E 65 00 ED D1
0003.760302 00000239 8 47 41 00 17 00 00 00 00
0003.760548 00000249 8 66 7D 46 06 05 60 29 00
0003.760819 00000469 8 80 08 00 00 00 00 00 00
0003.761080 00000719 8 0A 00 00 00 00 00 00 00
0003.778539 00000368 8 03 49 29 11 00 0C 40 FF
0003.778790 0000045C 8 58 98 14 2E 00 00 90 8C
0003.779046 0000043C 8 42 BB 70 17 FE 00 00 00
0003.825556 00000219 8 31 80 7F 00 87 92 00 00
0003.859809 00000209 8 00 EA 52 13 68 01 E0 B6
0003.860050 00000229 8 7D 8D 0C 8E 69 00 ED D1
0003.860306 00000239 8 47 41 00 17 00 00 00 00
0003.860557 00000249 8 66 7D 46 06 05 60 29 00
0003.860818 00000469 8 90 08 00 00 00 00 00 00
0003.861079 00000719 8 0B 00 00 00 00 00 00 00
0003.868544 00000368 8 03 49 29 11 00 0C 40 FF
0003.868795 0000045C 8 58 98 14 2E 00 00 90 8C
0003.869051 0000043C 8 42 BB 70 17 FE 00 00 00
0003.925545 00000219 8 31 80 7F 00 87 92 00 00
0003.958558 00000368 8 03 49 29 11 00 0C 40 FF
0003.958809 0000045C 8 58 98 14 2E 00 00 90 8C
0003.959070 0000043C 8 42 BB 70 17 FE 00 00 00
0003.959864 00000209 8 00 EA D2 10 68 01 00 B6
0003.960089 00000229 8 6D 8D 10 8E 53 00 ED D1
0003.960335 00000239 8 47 41 00 17 00 00 00 00
0003.960571 00000249 8 66 7D 46 06 05 60 29 00
0003.960811 00000469 8 9E 08 00 00 00 00 00 00
0003.961057 00000719 8 0C 00 00 00 00 06 02 00
0004.025538 00000219 8 31 80 7F 00 87 92 00 00
0004.048568 00000368 8 03 49 29 11 00 0C 40 FF
0004.048819 0000045C 8 58 98 14 2E 00 00 90 8C
0004.049080 0000043C 8 42 BB 70 17 FE 00 00 00
0004.059760 00000209 8 00 EA D2 0E 68 01 80 B6
0004.059986 00000229 8 53 8D 18 8E 64 00 ED D1
0004.060226 00000239 8 47 41 00 17 00 00 00 00
0004.060457 00000249 8 66 7D 45 06 05 60 29 00
0004.060702 00000469 8 AC 08 00 00 00 00 00 00
0004.060943 00000719 8 0E 20 30 12 A6 03 00 00
0004.125537 00000219 8 31 80 7F 00 87 92 00 00
0004.138567 00000368 8 03 49 29 11 00 0C 40 FF
0004.138808 0000045C 8 58 98 14 2E 00 00 90 8C
0004.139054 0000043C 8 42 BB 70 17 FE 00 00 00
0004.159631 00000349 8 00 00 00 00 00 00 00 00
0004.159887 00000209 8 00 EA D2 0B 68 01 00 B7
0004.160133 00000229 8 45 8D 15 8E 60 00 ED D1
0004.160389 00000239 8 47 41 00 17 00 00 00 00
0004.160640 00000249 8 66 7D 46 06 05 60 29 00
0004.160901 00000469 8 B9 08 00 00 00 00 00 00
0004.161152 00000719 8 0F 00 7E 02 49 49 00 00
0004.169646 00000359 8 00 00 00 00 00 00 00 00
0004.179630 00000329 8 00 00 00 00 00 00 00 00
0004.189609 00000369 8 00 00 00 00 00 00 00 00
0004.199629 00000379 8 00 00 00 00 00 00 00 00
0004.225546 00000219 8 31 80 7F 00 87 92 00 00
0004.228582 00000368 8 03 49 29 11 00 0C 40 FF
0004.228818 0000045C 8 58 98 14 2E 00 00 90 8C
0004.229063 0000043C 8 42 BB 70 17 FE 00 00 00
0004.259737 00000209 8 00 E9 92 09 68 01 80 B6
0004.259973 00000229 8 25 8D 17 8E 61 00 ED D1
0004.260208 00000239 8 47 41 00 17 00 00 00 00
0004.260444 00000249 8 66 7D 45 06 05 60 29 00
